City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
7,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
19,Cabo San Lucas,MX,87.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Airai,TL,79.41,scattered clouds,-8.9266,125.4092,Juvinal Martin
26,Victoria,HK,89.65,clear sky,22.2855,114.1577,Mini Hotel Central
27,Ojinaga,MX,82.42,broken clouds,29.5667,-104.4167,Suites Las Palmas
30,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
31,San Rafael Del Sur,NI,77.97,clear sky,11.8485,-86.4384,Hospedaje El Chino
32,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
33,Tomigusuku,JP,85.77,few clouds,26.185,127.675,Hotel Gran View Okinawa
39,Labuhan,ID,84.7,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
49,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
50,Butaritari,KI,81.72,light rain,3.0707,172.7902,Isles Sunset Lodge
51,Sampit,ID,79.21,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
53,Porto Velho,BR,78.85,clear sky,-8.7619,-63.9039,Hotel Central
56,Lianzhou,CN,83.89,clear sky,24.7811,112.3825,Qingcheng Tourism Industry
57,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
61,Atambua,ID,85.96,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
63,Half Moon Bay,US,88.41,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
64,Kupang,ID,86.65,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
65,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
68,Nabire,ID,85.23,scattered clouds,-3.3667,135.4833,Hotel Nusantara Nabire
69,San Patricio,US,82.26,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
