City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,2021-09-29 01:19:38,72.7868,-56.1549,25.77,52,16,4.27
1,Kathu,2021-09-29 01:19:38,7.9178,98.3332,78.62,79,69,3.33
2,Carnarvon,2021-09-29 01:19:39,-24.8667,113.6333,73.47,64,4,3.44
3,Imbituba,2021-09-29 01:19:29,-28.24,-48.6703,68.83,94,100,11.88
4,Avarua,2021-09-29 01:15:42,-21.2078,-159.775,80.65,69,75,5.75
5,Kodiak,2021-09-29 01:19:39,57.79,-152.4072,51.31,62,75,6.91
6,Georgetown,2021-09-29 01:15:27,5.4112,100.3354,76.95,95,40,2.3
7,Lesnoy,2021-09-29 01:19:40,57.6198,63.0784,31.89,86,76,6.38
8,Lebu,2021-09-29 01:19:40,-37.6167,-73.65,47.64,83,94,5.88
9,Nikolskoye,2021-09-29 01:17:07,59.7035,30.7861,47.88,70,100,2.46
10,Arraial Do Cabo,2021-09-29 01:17:04,-22.9661,-42.0278,71.02,88,0,24.67
11,Merauke,2021-09-29 01:19:41,-8.4667,140.3333,83.89,66,93,10.74
12,Tuktoyaktuk,2021-09-29 01:19:41,69.4541,-133.0374,33.8,100,90,10.36
13,Tugulym,2021-09-29 01:19:41,57.0591,64.6425,33.87,92,88,8.16
14,Sitka,2021-09-29 01:19:30,57.0531,-135.33,53.49,54,75,10.36
15,Cockburn Town,2021-09-29 01:17:55,21.4612,-71.1419,83.59,71,3,9.08
16,Bluff,2021-09-29 01:17:05,-46.6,168.3333,52.81,80,99,23.89
17,Mataura,2021-09-29 01:17:08,-46.1927,168.8643,52.48,79,74,8.97
18,Puerto Ayora,2021-09-29 01:18:03,-0.7393,-90.3518,69.76,91,52,7.65
19,Kutum,2021-09-29 01:19:42,14.2,24.6667,77.04,31,15,12.91
20,Los Llanos De Aridane,2021-09-29 01:17:14,28.6585,-17.9182,72.12,65,75,16.11
21,Ushuaia,2021-09-29 01:15:33,-54.8,-68.3,44.26,53,75,21.85
22,Poso,2021-09-29 01:19:43,-1.3959,120.7524,85.78,62,69,1.28
23,Deputatskiy,2021-09-29 01:19:43,69.3,139.9,21.7,74,23,1.9
24,Magaria,2021-09-29 01:19:44,12.9983,8.9099,83.03,42,100,7.05
25,Kavaratti,2021-09-29 01:19:01,10.5669,72.642,80.85,81,29,16.31
26,Kushima,2021-09-29 01:19:44,31.4583,131.2333,81.91,65,0,11.59
27,Paracuru,2021-09-29 01:19:44,-3.41,-39.0306,80.62,83,1,14.7
28,Hithadhoo,2021-09-29 01:19:45,-0.6,73.0833,82.33,73,27,11.59
29,Bengkulu,2021-09-29 01:19:45,-3.8004,102.2655,77.65,87,75,2.51
30,Vaini,2021-09-29 01:17:01,-21.2,-175.2,80.76,83,20,8.05
31,Rikitea,2021-09-29 01:19:46,-23.1203,-134.9692,73.63,65,100,15.57
32,Murgab,2021-09-29 01:19:46,37.4966,61.9714,58.87,58,0,4.61
33,Oranjemund,2021-09-29 01:19:46,-28.55,16.4333,55.33,92,45,8.86
34,Camacha,2021-09-29 01:19:47,33.0833,-16.3333,70.56,78,40,14.97
35,Sao Felix Do Xingu,2021-09-29 01:19:47,-6.6447,-51.995,72.14,98,99,1.3
36,Punta Arenas,2021-09-29 01:19:47,-53.15,-70.9167,46.51,46,20,31.07
37,Yellowknife,2021-09-29 01:15:21,62.456,-114.3525,49.41,100,75,3.0
38,Kapaa,2021-09-29 01:19:48,22.0752,-159.319,85.98,72,75,3.0
39,Quatre Cocos,2021-09-29 01:19:48,-20.2078,57.7625,72.09,70,75,16.8
40,Ko Samui,2021-09-29 01:19:48,9.5357,99.9357,85.91,79,20,0.0
41,Chapais,2021-09-29 01:17:44,49.7834,-74.8492,40.78,97,100,7.9
42,Balakhninskiy,2021-09-29 01:19:49,58.0106,114.2769,33.94,91,100,4.59
43,New Norfolk,2021-09-29 01:19:49,-42.7826,147.0587,54.91,67,100,1.99
44,Katsuura,2021-09-29 01:19:49,35.1333,140.3,77.04,75,31,10.78
45,Vestmannaeyjar,2021-09-29 01:19:50,63.4427,-20.2734,40.6,79,100,34.9
46,Saint Anthony,2021-09-29 01:19:50,45.0205,-93.218,73.29,62,1,1.99
47,Albany,2021-09-29 01:16:53,42.6001,-73.9662,57.45,74,100,8.01
48,Wajima,2021-09-29 01:19:50,37.4,136.9,77.68,69,0,4.61
49,Anjiang,2021-09-29 01:19:51,27.3194,110.1031,73.17,94,100,4.14
50,Jamestown,2021-09-29 01:15:21,42.097,-79.2353,56.79,82,20,3.44
51,Whitehorse,2021-09-29 01:15:20,60.7161,-135.0538,39.97,84,75,1.99
52,Kungurtug,2021-09-29 01:19:51,50.5994,97.5228,28.58,43,9,0.4
53,Faanui,2021-09-29 01:19:52,-16.4833,-151.75,79.39,74,21,13.62
54,Nhulunbuy,2021-09-29 01:19:52,-12.2333,136.7667,86.61,62,75,13.8
55,Hermanus,2021-09-29 01:19:52,-34.4187,19.2345,58.89,83,13,8.9
56,Lavrentiya,2021-09-29 01:19:53,65.5833,-171.0,34.09,75,100,10.0
57,Busselton,2021-09-29 01:19:53,-33.65,115.3333,62.04,73,100,13.56
58,Dukat,2021-09-29 01:19:53,62.55,155.55,21.51,58,100,13.2
59,Bethanien,2021-09-29 01:19:53,-26.502,17.1583,60.76,43,76,3.87
60,Pevek,2021-09-29 01:19:54,69.7008,170.3133,23.85,84,100,4.29
61,Conakry,2021-09-29 01:19:54,9.538,-13.6773,73.36,80,100,6.15
62,Baykit,2021-09-29 01:19:54,61.67,96.37,38.08,81,100,2.06
63,San Isidro,2021-09-29 01:19:55,-12.1167,-77.05,61.25,86,75,9.22
64,Kanniyakumari,2021-09-29 01:19:55,8.0833,77.5667,78.31,82,96,16.28
65,Leningradskiy,2021-09-29 01:19:55,69.3833,178.4167,24.84,96,100,12.77
66,Rocha,2021-09-29 01:19:56,-34.4833,-54.3333,55.67,77,97,10.29
67,Birao,2021-09-29 01:19:56,10.2849,22.7882,72.0,83,100,2.93
68,Hobart,2021-09-29 01:19:56,-42.8794,147.3294,55.26,65,75,13.8
69,Thompson,2021-09-29 01:19:57,55.7435,-97.8558,57.36,58,40,6.91
70,Torbay,2021-09-29 01:19:08,47.6666,-52.7314,62.67,91,90,21.85
71,Hilo,2021-09-29 01:19:57,19.7297,-155.09,85.28,77,90,0.0
72,Bambous Virieux,2021-09-29 01:19:58,-20.3428,57.7575,72.21,60,75,17.27
73,Fairbanks,2021-09-29 01:15:26,64.8378,-147.7164,35.56,62,1,0.0
74,Kapoeta,2021-09-29 01:19:58,4.7717,33.5903,76.41,68,98,2.15
75,Gurun,2021-09-29 01:19:58,5.8172,100.4738,80.38,89,99,1.57
76,Polyarnyy,2021-09-29 01:19:59,69.1989,33.4478,43.27,77,34,19.57
77,Butaritari,2021-09-29 01:19:59,3.0707,172.7902,83.37,73,79,21.14
78,Castro,2021-09-29 01:19:59,-24.7911,-50.0119,65.52,81,100,3.36
79,Buckeye,2021-09-29 01:15:00,33.3703,-112.5838,91.18,35,0,5.75
80,Adrar,2021-09-29 01:20:00,20.5022,-10.0711,88.86,9,0,6.85
81,Alexander City,2021-09-29 01:20:00,32.944,-85.9539,71.78,94,1,0.0
82,West Helena,2021-09-29 01:20:00,34.5507,-90.6418,76.68,67,100,7.34
83,Tura,2021-09-29 01:20:01,25.5198,90.2201,73.11,91,100,2.57
84,Saint-Philippe,2021-09-29 01:18:23,-21.3585,55.7679,71.15,76,43,12.68
85,Isabela,2021-09-29 01:20:01,6.7085,121.9711,85.06,67,100,2.1
86,Kaitangata,2021-09-29 01:20:15,-46.2817,169.8464,55.92,61,20,11.9
87,Margate,2021-09-29 01:20:15,51.3813,1.3862,55.11,93,100,1.01
88,Ulaangom,2021-09-29 01:15:39,49.9811,92.0667,35.19,53,100,1.92
89,Policoro,2021-09-29 01:20:16,40.2115,16.6726,71.58,64,5,6.6
90,Provideniya,2021-09-29 01:20:16,64.3833,-173.3,33.91,80,90,11.18
91,Ponta Do Sol,2021-09-29 01:20:17,32.6667,-17.1,74.03,76,83,6.42
92,Rundu,2021-09-29 01:20:17,-17.9333,19.7667,71.33,22,5,7.7
93,Dikson,2021-09-29 01:18:19,73.5069,80.5464,37.08,99,100,10.29
94,Visnes,2021-09-29 01:20:17,59.3556,5.2242,58.21,67,100,19.57
95,Hami,2021-09-29 01:20:18,42.8,93.45,65.59,23,0,2.86
