City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,65,75,16.11,broken clouds
1,Margate,GB,51.3813,1.3862,62.31,80,100,4.0,overcast clouds
2,Haines Junction,CA,60.7522,-137.5108,46.35,57,99,4.61,overcast clouds
3,Erenhot,CN,43.6475,111.9767,48.72,29,49,11.23,scattered clouds
4,Coaldale,CA,49.7167,-112.6185,67.32,41,20,14.97,few clouds
5,Bredasdorp,ZA,-34.5322,20.0403,58.32,94,100,11.5,light rain
6,Tuatapere,NZ,-46.1333,167.6833,53.82,65,90,10.42,overcast clouds
7,Alyangula,AU,-13.8483,136.4192,87.67,62,40,10.36,scattered clouds
8,Mezhdurechenskiy,RU,59.6,65.9333,35.29,79,100,10.45,overcast clouds
9,Tiksi,RU,71.6872,128.8694,30.96,68,100,4.18,overcast clouds
10,Busselton,AU,-33.65,115.3333,63.09,83,100,11.52,light rain
11,Albany,US,42.6001,-73.9662,50.81,93,100,5.46,overcast clouds
12,Barrow,US,71.2906,-156.7887,30.22,74,90,10.36,haze
13,Saskylakh,RU,71.9167,114.0833,21.88,91,100,2.17,overcast clouds
14,Nikolskoye,RU,59.7035,30.7861,42.69,96,51,4.76,broken clouds
15,Hami,CN,42.8,93.45,66.72,26,24,5.86,few clouds
16,Rikitea,PF,-23.1203,-134.9692,73.31,73,10,16.51,clear sky
17,Esperance,AU,-33.8667,121.9,68.9,55,100,9.42,overcast clouds
18,Zhigansk,RU,66.7697,123.3711,35.29,45,17,6.35,few clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,87.51,65,1,6.91,clear sky
20,Kishi,NG,9.0833,3.85,71.78,95,90,3.49,overcast clouds
21,Mareeba,AU,-17.0,145.4333,91.44,47,89,0.76,overcast clouds
22,Airai,TL,-8.9266,125.4092,79.41,26,44,3.0,scattered clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,70.16,91,54,6.73,broken clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,69,20,2.3,few clouds
25,Hobart,AU,-42.8794,147.3294,61.11,96,90,3.0,overcast clouds
26,Victoria,HK,22.2855,114.1577,89.65,80,0,1.99,clear sky
27,Ojinaga,MX,29.5667,-104.4167,82.42,39,75,17.27,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,59.41,73,0,13.8,clear sky
29,Ushuaia,AR,-54.8,-68.3,42.46,56,20,18.41,few clouds
30,Avarua,CK,-21.2078,-159.775,80.65,69,20,12.66,few clouds
31,San Rafael Del Sur,NI,11.8485,-86.4384,77.97,88,1,1.99,clear sky
32,Georgetown,MY,5.4112,100.3354,84.13,82,20,3.44,few clouds
33,Tomigusuku,JP,26.185,127.675,85.77,66,20,17.27,few clouds
34,Gold Coast,AU,-28.0,153.4333,73.9,71,100,4.0,moderate rain
35,Port Alfred,ZA,-33.5906,26.891,60.98,91,0,9.06,clear sky
36,Aklavik,CA,68.2191,-135.0107,31.03,94,70,4.47,broken clouds
37,Husavik,IS,66.0449,-17.3389,40.91,83,100,19.93,overcast clouds
38,Jamestown,US,42.097,-79.2353,49.08,92,1,0.0,clear sky
39,Labuhan,ID,-6.8844,112.2051,84.7,61,91,13.47,overcast clouds
40,Bluff,NZ,-46.6,168.3333,53.8,76,63,22.46,broken clouds
41,Mataura,NZ,-46.1927,168.8643,53.47,72,100,7.14,overcast clouds
42,Hermanus,ZA,-34.4187,19.2345,56.89,87,97,8.43,light rain
43,Ponta Do Sol,PT,32.6667,-17.1,72.23,68,7,8.28,clear sky
44,Buraydah,SA,26.326,43.975,73.85,14,0,8.14,clear sky
45,Ribeira Grande,PT,38.5167,-28.7,71.6,83,16,2.24,few clouds
46,Bethel,US,41.3712,-73.414,57.65,84,1,3.44,clear sky
47,Upernavik,GL,72.7868,-56.1549,32.61,71,100,14.36,overcast clouds
48,Malakal,SS,9.5334,31.6605,73.27,85,100,2.68,overcast clouds
49,Salalah,OM,17.0151,54.0924,82.49,78,75,4.61,broken clouds
